#	speedup parallel quicksort
#4 processors
#size	speedup
10000	0.648363
12500	0.63362
15625	0.826097
19531	0.796026
24413	0.79554
30516	0.809152
38145	0.788722
47681	0.864876
59601	0.989537
74501	1.06048
93126	1.06076
116407	1.13161
145508	1.05624
181885	1.26467
227356	1.372
284195	1.51281
355243	1.72575
444053	1.67891
555066	1.91208
693832	2.04702
867290	2.10627
1084112	2.26234
1355140	2.31038
1693925	2.38133
2117406	2.41292
2646757	2.42629
3308446	2.46961
4135557	2.4947
5169446	2.50929
6461807	2.53017
8077258	2.54117

