#	speedup parallel quicksort
#2 processors
#size	speedup
10000	1.09293
12500	1.46046
15625	0.685592
19531	0.861603
24413	0.857893
30516	0.859589
38145	0.95492
47681	0.794394
59601	1.03252
74501	1.11163
93126	1.02298
116407	1.08521
145508	1.09124
181885	1.14478
227356	1.20226
284195	1.25113
355243	1.28443
444053	1.37176
555066	1.41573
693832	1.47481
867290	1.53994
1084112	1.58199
1355140	1.62815
1693925	1.66512
2117406	1.68672
2646757	1.71604
3308446	1.7286
4135557	1.72881
5169446	1.74092
6461807	1.75471
8077258	1.76593
