# Benchmarks for /home/millasvs/Downloads/particles/serial 
# n     time (s)
1000	 2.33308
1500	 5.17204
2000	 9.13594
2500	 14.3082
3000	 26.136
3500	 35.7524
4000	 47.0044
4500	 58.2663
5000	 72.4504

